title,category,date,longitude,latitude,year,month
"RX Thorpe Mountain Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-26 08:05:00+00:00,-93.584722,34.723889,2026,2
"Turkey Creek Wildfire, Creek, Oklahoma",Wildfires,2026-02-25 20:11:00+00:00,-96.2105556,35.7958333,2026,2
"Kataja Wildfire, Perry, Mississippi",Wildfires,2026-02-25 19:37:00+00:00,-89.0786,31.124167,2026,2
"113 Wildfire, Logan, Colorado",Wildfires,2026-02-25 16:38:00+00:00,-103.115594,40.935094,2026,2
"CRAWFORD Wildfire, Osage, Oklahoma",Wildfires,2026-02-25 16:28:00+00:00,-96.34903,36.39913,2026,2
"Hancock - Texas Flat Rd/607 Wildfire, Hancock, Mississippi",Wildfires,2026-02-25 16:02:00+00:00,-89.6483333,30.4469444,2026,2
"RX KENWOOD 38 Prescribed Fire, Delaware, Oklahoma",Wildfires,2026-02-25 11:47:00+00:00,-94.815864,36.318541,2026,2
"Wolf Mountain RX Prescribed Fire, Ripley, Missouri",Wildfires,2026-02-25 10:57:00+00:00,-91.107667,36.644533,2026,2
"IDBR - COLSP F1 RX Prescribed Fire, Lake, Illinois",Wildfires,2026-02-25 10:22:00+00:00,-88.186847,42.451297,2026,2
"Box Springs Road Wildfire, Pushmataha, Oklahoma",Wildfires,2026-02-25 09:45:00+00:00,-95.22,34.6688889,2026,2
"Handy RX Prescribed Fire, Ripley, Missouri",Wildfires,2026-02-25 09:29:00+00:00,-91.096444,36.797648,2026,2
"RX Gobbler&#039;s Knob Blackline Prescribed Fire, Newton, Arkansas",Wildfires,2026-02-25 09:26:00+00:00,-93.35,35.733333,2026,2
"Compartment 25 RX Prescribed Fire, Bibb, Alabama",Wildfires,2026-02-25 08:58:00+00:00,-87.363315,32.970162,2026,2
"Talladega Mtn RX Prescribed Fire, Talladega, Alabama",Wildfires,2026-02-25 08:56:00+00:00,-86.01308,33.33258,2026,2
"RX PCS Holly Mountain North Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-25 08:49:00+00:00,-93.832312,34.827324,2026,2
